-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1011.0      6   26.8   23.7     83  18.65     55      7  299.0  353.6  302.3
 1000.0    112   26.0   24.6     92  19.94     55     14  299.1  357.6  302.7
  999.0    121   26.0   24.9     94  20.33     56     14  299.2  358.9  302.9
  978.4    305   24.9   23.7     93  19.29     75     14  299.9  356.7  303.4
  953.0    537   23.6   22.2     92  18.04     86     13  300.9  354.1  304.1
  945.1    610   23.4   20.8     85  16.61     90     13  301.4  350.5  304.4
  925.0    799   23.0   17.0     69  13.35     95     11  302.8  342.6  305.2
  912.9    914   22.0   17.8     77  14.26     95      9  302.9  345.4  305.5
  904.0    999   21.2   18.4     84  14.96     95      9  303.0  347.5  305.7
  881.3   1219   19.6   17.1     85  14.09     95      8  303.6  345.6  306.1
  852.0   1511   17.6   15.3     86  13.00     72      7  304.4  343.3  306.7
  850.0   1531   17.4   14.9     85  12.69     70      7  304.4  342.4  306.7
  838.0   1653   17.0   12.9     77  11.28     64      7  305.2  339.2  307.2
  833.0   1704   17.2   10.2     63   9.46     61      8  305.9  334.7  307.6
  822.0   1817   16.4   12.8     79  11.42     56      8  306.2  340.8  308.3
  820.9   1829   16.3   12.8     80  11.46     55      8  306.3  341.0  308.4
  807.0   1974   15.6   13.2     86  11.96     55      8  307.0  343.3  309.2
  792.0   2134   14.4   13.2     92  12.15     55      8  307.4  344.3  309.7
  776.0   2307   13.2   13.1     99  12.36     44      7  307.9  345.5  310.1
  764.0   2438   12.3   12.2    100  11.83     35      6  308.2  344.3  310.4
  748.0   2616   11.0   11.0    100  11.14     41      5  308.7  342.8  310.8
  736.7   2743   10.7   10.7    100  11.07     45      4  309.7  343.7  311.8
  734.0   2774   10.6   10.6    100  11.05     41      6  310.0  344.0  312.0
  728.0   2842   10.4    8.3     87   9.52     32     10  310.5  339.9  312.2
  715.0   2993    9.4    6.9     84   8.80     12     18  311.0  338.3  312.6
  710.2   3048    9.6    6.5     81   8.64      5     21  311.8  338.8  313.4
  706.0   3098    9.8    6.2     78   8.49      5     22  312.5  339.1  314.1
  700.0   3169   10.0    3.0     62   6.83      5     23  313.5  335.2  314.8
  699.0   3181   10.0    2.0     58   6.37      5     23  313.6  333.9  314.9
  696.0   3217    9.8    1.8     57   6.30      6     23  313.8  333.9  315.0
  694.0   3241   10.0   -9.0     25   2.80      6     23  314.3  323.6  314.8
  691.0   3277   10.0   -8.0     27   3.04      7     23  314.7  324.8  315.3
  689.0   3301   10.0   -3.0     40   4.47      8     24  314.9  329.5  315.8
  688.0   3313   10.0   -3.0     40   4.48      8     24  315.1  329.6  315.9
  687.0   3325   10.0   -4.0     37   4.16      8     24  315.2  328.8  316.0
  685.0   3349   10.4  -14.6     16   1.81      9     24  315.9  322.1  316.3
  682.0   3386   10.8  -15.2     15   1.73      9     24  316.8  322.7  317.1
  681.0   3398   10.8  -12.2     19   2.21     10     24  316.9  324.4  317.3
  677.0   3447   10.6  -14.4     16   1.86     11     24  317.2  323.6  317.6
  673.0   3496   10.0   -6.0     32   3.65     12     24  317.1  329.1  317.8
  664.0   3608    9.0   -3.0     43   4.64     14     25  317.2  332.4  318.1
  660.0   3658    8.6   -3.4     43   4.53     15     25  317.3  332.1  318.1
  650.0   3784    7.6   -4.4     42   4.27     21     23  317.5  331.6  318.3
  647.0   3822    7.6  -10.4     27   2.69     23     22  317.9  327.0  318.5
  640.0   3912    6.8   -6.2     39   3.78     28     20  318.0  330.6  318.8
  636.1   3962    6.4   -6.9     38   3.61     30     19  318.2  330.2  318.9
  627.0   4080    5.6   -8.4     36   3.25     22     17  318.5  329.4  319.1
  624.0   4119    5.2   -5.8     45   4.00     20     17  318.5  331.7  319.3
  621.0   4159    5.2   -7.8     39   3.44     17     16  318.9  330.4  319.6
  616.0   4225    4.8   -7.2     41   3.63     13     16  319.2  331.3  319.9
  612.8   4267    4.8  -10.4     32   2.85     10     15  319.7  329.3  320.2
  610.0   4305    4.8  -13.2     26   2.28      8     15  320.1  327.9  320.6
  602.0   4412    3.8  -12.2     30   2.50      1     14  320.2  328.7  320.6
  597.0   4480    3.6  -16.4     22   1.79    356     13  320.7  326.9  321.0
  596.0   4493    3.4  -13.6     28   2.26    355     13  320.6  328.4  321.1
  590.2   4572    3.1  -15.8     23   1.91    350     12  321.2  327.9  321.6
  587.0   4617    3.0  -17.0     21   1.73    352     12  321.6  327.6  321.9
  580.0   4714    3.0  -40.0      3   0.20    357     12  322.6  323.5  322.7
  577.0   4756    2.8  -46.2      1   0.11    359     13  322.9  323.3  322.9
  568.4   4877    2.0  -46.0      1   0.11      5     13  323.4  323.8  323.4
  568.0   4883    2.0  -46.0      1   0.11      5     13  323.4  323.9  323.4
  565.0   4925    1.6  -23.4     14   1.03      7     13  323.4  327.2  323.6
  561.0   4982    1.2  -24.8     12   0.92     10     12  323.6  327.0  323.8
  557.0   5040    0.6  -19.4     21   1.49     13     11  323.6  328.9  323.9
  556.0   5054    0.6  -12.4     37   2.67     14     11  323.7  332.9  324.3
  555.0   5069    0.6  -20.4     19   1.37     14     11  323.9  328.8  324.2
  554.0   5083    0.8  -18.2     23   1.66     15     11  324.3  330.2  324.6
  541.0   5274    0.0  -49.0      1   0.08     24      9  325.6  325.9  325.6
  526.8   5486   -1.3  -46.2      2   0.12     35      7  326.5  327.0  326.5
  507.0   5790   -3.1  -42.1      3   0.19     50      7  327.9  328.6  327.9
  500.0   5900   -4.1  -41.1      4   0.21     55      7  328.0  328.8  328.0
  487.6   6096   -5.7  -36.5      7   0.35     60      8  328.4  329.8  328.4
  465.0   6467   -8.7  -27.7     20   0.85     60     10  329.1  332.3  329.3
  460.0   6551   -8.9  -31.9     14   0.58     60     10  329.9  332.1  330.0
  458.0   6585   -8.9  -26.9     22   0.93     60     10  330.3  333.8  330.5
  454.0   6652   -9.3  -25.3     26   1.08     60     10  330.6  334.7  330.9
  449.0   6738   -9.5  -33.5     12   0.51     60     11  331.4  333.4  331.5
  420.0   7250  -13.3  -37.3     11   0.37     60     13  332.9  334.4  333.0
  416.4   7315  -13.5  -39.6      9   0.29     60     13  333.5  334.7  333.5
  410.0   7433  -13.9  -43.9      6   0.19     58     13  334.5  335.3  334.5
  400.0   7620  -15.5  -48.5      4   0.12     55     13  334.8  335.3  334.8
  384.0   7925  -18.0  -55.2      2   0.06     60     11  335.4  335.6  335.4
  381.0   7984  -18.5  -56.5      2   0.05     62     11  335.5  335.7  335.5
  353.5   8534  -22.3  -62.5      1   0.02     80     12  337.6  337.8  337.7
  333.0   8973  -25.3  -67.3      1   0.01     66     11  339.3  339.4  339.3
  325.2   9144  -26.7  -67.2      1   0.01     60     10  339.7  339.8  339.7
  312.0   9442  -29.1  -67.1      1   0.01     50     15  340.4  340.5  340.4
  300.0   9720  -31.5  -49.5     15   0.14     40     20  340.9  341.5  340.9
  289.0   9983  -33.3  -45.3     29   0.23     36     18  341.9  342.9  342.0
  285.9  10058  -33.9  -45.7     30   0.23     35     18  342.1  343.1  342.2
  267.0  10532  -37.9  -47.9     34   0.19      4     21  343.1  343.9  343.1
  261.7  10668  -39.1  -48.8     35   0.17    355     22  343.2  344.0  343.3
  250.0  10980  -41.9  -50.9     37   0.14    350     22  343.6  344.3  343.7
  238.9  11278  -44.4  -53.4     36   0.11    345     21  344.4  344.9  344.4
  200.0  12450  -54.1  -63.1     32   0.04      0     31  346.9  347.1  346.9
  181.0  13083  -60.1  -68.1     34   0.02      0     42  347.2  347.3  347.2
  180.3  13106  -60.2  -68.2     34   0.02      0     42  347.4  347.5  347.4
  168.0  13546  -62.1  -70.1     33   0.02      4     34  351.3  351.4  351.3
  152.0  14160  -66.3  -73.3     37   0.01      9     23  354.3  354.4  354.3
  150.0  14240  -66.5  -73.5     37   0.01     10     22  355.3  355.4  355.3
  147.9  14326  -66.9  -73.9     37   0.01      5     23  356.2  356.2  356.2
  142.0  14570  -67.9  -74.9     36   0.01     13     23  358.5  358.6  358.5
  133.6  14935  -70.4  -77.4     35   0.01     25     24  360.4  360.4  360.4
  130.0  15096  -71.5  -78.5     35   0.01     41     19  361.2  361.2  361.2
  126.9  15240  -71.0  -78.0     35   0.01     55     15  364.6  364.7  364.6
  124.0  15376  -70.5  -77.5     35   0.01     59     13  367.9  368.0  367.9
